City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,choibalsan,48.0667,114.5,-12.06,83,5,3.12,MN,1701656701
134,naldurg,17.8167,76.3,20.73,70,100,4.35,IN,1701656702
135,nampula,-15.1165,39.2666,19.61,87,0,1.19,MZ,1701656504
136,sur,22.5667,59.5289,24.66,55,76,5.66,OM,1701656702
137,nishinoomote,30.7333,131.0,15.31,67,75,1.54,JP,1701656702
138,ilulissat,69.2167,-51.1,-5.99,73,100,2.57,GL,1701656702
139,kone,-21.0595,164.8658,31.88,47,57,1.69,NC,1701656703
140,polyarnyy,69.1989,33.4478,-4.47,92,100,1.72,RU,1701656703
141,hermanus,-34.4187,19.2345,16.78,75,60,2.33,ZA,1701656703
142,hasaki,35.7333,140.8333,12.22,47,2,4.66,JP,1701656704
143,riyadh,24.6877,46.7219,16.08,36,100,1.78,SA,1701656704
144,pemangkat,1.1667,108.9667,26.7,82,100,0.16,ID,1701656704
145,kodiak,57.79,-152.4072,2.73,81,75,5.66,US,1701656704
146,college,64.8569,-147.8028,-19.75,75,20,0.0,US,1701656704
147,klyuchi,52.2667,79.1667,-8.31,76,100,8.72,RU,1701656408
148,inyonga,-6.7167,32.0667,18.41,94,99,0.96,TZ,1701656705
149,bethel,41.3712,-73.414,7.49,89,100,1.54,US,1701656705
150,vilyuchinsk,52.9306,158.4028,-4.85,71,22,4.58,RU,1701656705
151,flin flon,54.7682,-101.865,-13.13,99,74,1.12,CA,1701656705
152,saldanha,-33.0117,17.9442,12.03,84,6,4.68,ZA,1701656706
153,jamestown,42.097,-79.2353,5.31,97,100,7.2,US,1701656706
154,beyneu,45.3167,55.2,8.99,71,100,5.69,KZ,1701656706
155,northam,51.0333,-4.2167,10.37,97,97,10.01,GB,1701656706
156,kapa'a,22.0752,-159.319,26.99,79,0,5.14,US,1701656706
157,shakiso,5.75,38.9167,11.47,80,5,2.06,ET,1701656706
158,ancud,-41.8697,-73.8203,7.7,83,0,2.63,CL,1701656707
159,bandon,51.7469,-8.7425,3.77,88,99,8.95,IE,1701656606
160,pak phanang,8.3511,100.202,28.01,84,100,3.9,TH,1701656707
161,ponta delgada,37.7333,-25.6667,13.4,62,20,3.09,PT,1701656707
162,whitehorse,60.7161,-135.0538,-10.57,85,75,1.54,CA,1701656631
163,atafu village,-8.5421,-172.5159,29.26,76,100,5.73,TK,1701656708
164,gallup,35.5281,-108.7426,-0.58,80,0,0.0,US,1701656708
165,flying fish cove,-10.4217,105.6791,27.82,74,75,5.14,CX,1701656708
166,la'ie,21.6477,-157.9253,27.98,81,18,0.89,US,1701656505
167,barro,-6.7167,-38.8667,27.29,57,32,2.82,BR,1701656708
168,boa vista,2.8197,-60.6733,28.99,58,0,4.12,BR,1701656709
169,luebo,-5.35,21.4167,19.84,100,100,0.24,CD,1701656709
170,sao vicente,-23.9631,-46.3919,26.26,26,93,0.98,BR,1701656709
171,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,76,20,3.58,RU,1701656709
